20;2;2
21;3;3
22;4;4
23;5;5
24;6;6
25;7;7
26;8;8
27;9;9
28;10;10
29;11;11
30;12;12
31;13;13
32;14;14
33;15;15
34;16;16
35;17;17
36;18;18
37;19;19
38;20;20
39;21;21
40;22;22
41;23;23
42;24;24
43;25;25
44;26;26
45;27;27
46;28;28
47;29;29
48;30;30
49;31;31
50;32;32
51;33;33
52;34;34
53;35;35
54;36;36
55;37;37
56;38;38
57;39;39
58;40;40
59;41;41
60;42;42
61;43;43
62;44;44
63;45;45
64;46;46
65;47;47
66;48;48
67;49;49
68;50;50
69;51;51
70;52;52
71;53;53
72;54;54
73;55;55
74;56;56
75;57;57
76;58;58
77;59;59
78;60;60
79;61;61
80;62;62
81;63;63
82;64;64
83;65;65
84;66;66
85;67;67
86;68;68
87;69;69
88;70;70
89;71;71
90;72;72
91;73;73
92;74;74
93;75;75
94;76;76
95;77;77
96;78;78
97;79;79
98;80;80
99;81;81
start;1;1
finish;1;1
start_offset_in_pixels;0;0
